weight_type,weight,US 1-2,US 03,US 04,US 05,US 06,US 07,US 08
OZ,1,3.99,4.01,4.13,4.20,4.31,4.40,4.57
OZ,2,3.99,4.01,4.13,4.20,4.31,4.40,4.60
OZ,3,3.99,4.01,4.13,4.20,4.31,4.40,4.60
OZ,4,3.99,4.01,4.13,4.20,4.31,4.40,4.60
OZ,5,4.42,4.45,4.54,4.62,4.67,4.75,4.83
OZ,6,4.42,4.45,4.54,4.62,4.67,4.77,4.89
OZ,7,4.42,4.45,4.55,4.62,4.67,4.77,4.93
OZ,8,4.42,4.45,4.55,4.62,4.67,4.77,4.93
OZ,9,4.42,4.65,4.72,4.77,4.84,4.88,4.99
OZ,10,4.43,4.68,4.75,4.81,4.88,4.93,5.05
OZ,11,4.45,4.71,4.78,4.84,4.93,4.98,5.12
OZ,12,4.45,4.73,4.81,4.88,4.97,5.03,5.18
OZ,13,4.45,4.78,4.87,4.94,5.05,5.10,5.24
OZ,14,4.46,4.81,4.90,4.97,5.09,5.15,5.30
OZ,15,4.46,4.81,4.91,5.03,5.15,5.21,5.37
OZ,16,4.54,4.90,5.00,5.16,5.28,5.36,5.54
LB,1,4.54,4.90,5.00,5.16,5.28,5.36,5.54
LB,2,5.20,5.56,5.79,5.91,6.16,6.27,6.53
LB,3,6.04,6.53,6.83,7.05,7.42,7.59,8.02
LB,4,6.72,7.33,7.65,7.98,8.49,8.71,9.32
LB,5,7.39,8.13,8.49,8.93,9.55,9.85,10.62
LB,6,8.47,9.30,9.69,10.24,11.02,11.38,12.34
LB,7,9.36,10.28,10.70,11.37,12.28,12.73,13.86
LB,8,10.12,11.16,11.62,12.39,13.44,13.94,15.25
LB,9,11.29,12.41,12.87,13.77,14.97,15.55,17.06
LB,10,12.07,13.29,13.80,14.81,16.15,16.79,18.47
LB,11,12.75,14.10,14.65,15.77,17.23,17.94,19.77
LB,12,13.50,14.97,15.55,16.77,18.37,19.13,21.15
LB,13,14.29,15.86,16.49,17.81,19.55,20.39,22.57
LB,14,15.13,16.81,17.47,18.91,20.78,21.69,24.04
LB,15,15.95,17.74,18.44,19.99,22.00,22.95,25.49
LB,16,16.65,18.55,19.30,20.95,23.10,24.12,26.81
LB,17,17.46,19.48,20.27,22.03,24.30,25.40,28.25
LB,18,18.29,20.42,21.24,23.10,25.53,26.68,29.71
LB,19,19.08,21.33,22.18,24.16,26.72,27.94,31.13
LB,20,19.86,22.20,23.10,25.19,27.88,29.16,32.53
LB,21,20.89,23.37,24.30,26.48,29.32,30.69,34.21
LB,22,21.66,24.24,25.22,27.51,30.48,31.92,35.62
LB,23,22.43,25.11,26.12,28.53,31.63,33.14,37.01
LB,24,23.11,25.91,26.94,29.46,32.70,34.27,38.30
LB,25,23.80,26.71,27.79,30.41,33.78,35.42,39.63
